FAUNA – ЖИВОТIЊЕ,,,,
CHORDATA – ХОРДАТА,,,,
MAMMALIA – СИСАРИ,,,,
РЕД,ПОРОДИЦА,"ВРСТАНаучни назив","ВРСТАСрпски назив",НАПОМЕНА
"ARTIODACTYLA(ПАПКАРИ)","Bovidae(шупљорози)",Rupicapra rupicapra,Дивокоза,"Л; 1- III, Рез  6; 4-II/IV"
"","Cervidae(јелени)",Capreolus capreolus,Срна,Л; 1- III
"",Cervus elaphus,"Европски јелен, јелен обични",Л; 1- III,
"","Suidae(свиње)",Sus scrofa,Дивља свиња,Л
"CARNIVORA(ЗВЕРИ)","Canidae(пси)",Canis lupus,Вук,"Л; *; 1-II (резерва), Рез  6;4-II/IV"
Canis aureus,Шакал,Л; 4-V,,
Vulpes vulpes,Лисица,Л,,
"Felidae(мачке)",Felis silvestris,Дивља мачка,"Л; *, 1-II (резерва); 4-IV",
"Mustelidae(куне)",Martes foina,Куна белица,Л; 1-III,
Martes martes,Куна златица,Л; 1- III; 4-V,,
Meles meles,Јазавац,Л; 1- III,,
"ERINACEOMORPHA(ЈЕЖЕВИ)","Erinaceidae(јежеви)",Erinaceus roumanicus,Јеж,
"LAGOMORPHA(ЗЕЧЕВИ)","Leporidae(зечеви)",Lepus europaeus,Зец,Л; 1-III
"RODENTIA(ГЛОДАРИ)","Cricetidae(хрчкови)",Arvicola amphibius,Водена волухарица,
"",Microtus agrestis,Мочварна ливадска волухарица,,
"",Microtus felteni,Македонска волухарица,,
"",Microtus guentheri,Средоземна волухарица,,
"",Microtus levis,Епирска волухарица,,
"","Gliridae(пухови)",Glis glis,Сиви пух,Л; 1-III
"","Muridae(мишеви)",Apodemus epimelas,Крашки миш,
"",Apodemus uralensis,Пољски миш,**,
"","Sciuridae(веверице)",Sciurus vulgaris,Веверица,Л; 1-III
"SORICOMORPHA(РОВЧИЦЕ)","Soricidae(ровчице)",Crocidura leucodon,Пољска ровчица,1- III
"",Crocidura suaveolens,Баштенска ровчица,1- III,
"",Neomys anomalus,Мочварна ровчица,1- III,
"",Sorex araneus,Шумска ровчица,1- III,
"",Sorex minutus,Мала ровчица,1- III,
"","Talpidae(кртице)",Talpa europaea,Обична кртица,
AVES – ПТИЦЕ,,,,
РЕД,ПОРОДИЦА,"ВРСТАНаучни назив","ВРСТАСрпски назив",НАПОМЕНА
"ANSERIFORMES(ГУШЧАРИЦЕ)","Anatidae(патке и гуске)",Anas crecca,"Крџа, кржуља","Л; 1-III; 2-II; 3-III; 5-II/А, III/Б"
"",Anas platyrhynchos,Глувара,"Л; 1-III; 2-II; 5-II/А, III/А",
