MAMMALIA – СИСАРИ,,,,
"",,Melanitta nigra,Црни турпан,"1-III; 2-II;5-II/Б, III/Б"
"",,Mergellus albellus,Мали ронац,1-II; 2-II; 5-I
"",,Mergus merganser,Велики ронац,1-III; 2-II;  5-II/Б
"",,Mergus serrator,Средњи ронац,"1-III; 2-II;5-II/Б"
"",,Netta rufina,Превез,"1-III; 2-II;5-II/Б"
"",,Oxyura leucocephala,Белоглава патка,"1-II; 2-I,II; 3-II; 5-I"
"",,Somateria mollissima,Гавка,"1-III; 2-II;5-II/Б, III/Б"
"",,Spatula clypeata,Пловка кашикара,"1-II; 2-II; 3-III; 5-II/А, III/Б"
"",,Tadorna ferruginea,Утва златокрила,1-II; 2-II; 5-I
"",,Tadorna tadorna,Шарена утва,1-II; 2-II
"APODIFORMES(ЧИОПЕ)","Apodidae(чиопе)",Apus pallidus,Сива чиопа,1-II
"",,Apus apus,Црна чиопа,1-III
"",,Tachymarptis melba,Бела чиопа,1-II
"CAPRIMULGIFORMES(ЛЕГЊЕВИ)",Camprimulgidae (легњеви),Caprimulgus europeus,Легањ,1-II; 5-I
"Burchinidae(ћурликовци)",Burchinus oedicnemus,Ћурликовац,,
"Charadriidae(вивци)",Charadrius dubius,Жалар слепић,1-II; 2-II
"",Charadrius hiaticula,Жалар блатарић,1-II; 2-II
"",Charadrius alexandrinus,Морски жалар,1-II; 2-II; 5-I нова рез  6
"",Eudromias morinellus,Планински зујавац,1-II; 2-II; 5-I
"",Pluvialis sqatarola,Сребрни вивак,"1-III; 2-II;5-II/Б"
"",Pluvialis apricaria,Златни вивак,"1-III; 2-II; 5-I, II/Б, III/Б"
"",Vanellus vanellus,Вивак,"1-III; 2-II;5-II/Б"
"Glareolidae(зијавци)",Glareola pratincola,Зијавац,1-II; 2-II; 5-I
"Haematopodidae(остригари)",Haematopus ostralegus,Остригар,1-III; 5-II/Б
"Laridae(галебови)",Hydrocoloeus minutus,Мали галеб,"1-II, Рез  6 нова; 5-I"
"",Larus melanocephalus,Црноглави галеб,1-II; 2-II; 5-I
"",Larus marinus,Црни галеб,5-II/Б
"",Larus fuscus,Мрки галеб,5-II/Б
"",Rissa tridactyla,Тропрсти галеб,1-III
"Recurvirostridae(сабљарке)",Himantopus himantopus,Властелица,1-II; 2-II; 5-I
"",Recurvirostra avosseta,Сабљарка,1-II; 2-II; 5-I
"Scolopacidae(шљуке испрудници)",Actitis hypoleucos,Полојка,1-II; 2-II
"",Arenaria interpres,Шљука камењарка,1-II; 2-II
"",Calidris alba,Бела спрутка,1-II; 2-II
"",Calidris alpina,Црнотрба спрутка,1-II; 2-II; 5-I
"",Calidris falcinellus,Пљоснокљуна спрутка,1-II; 2-II
