,taxon.name,taxon.id,taxon.rank,count,taxon.observations_count,taxon.ancestor_ids
44,Trametes gibbosa,410641,species,14475,14536,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 410641]"
45,Stereum ostrea,55496,species,14416,14528,"[48460, 47170, 47169, 492000, 50814, 48341, 55502, 55503, 55496]"
46,Parasola plicatilis,63583,species,14415,14532,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 56311, 1180101, 63583]"
47,Xylaria hypoxylon,55267,species,14350,14403,"[48460, 47170, 48250, 372740, 53539, 792674, 48805, 48806, 55268, 1366853, 55267]"
48,Bolbitius titubans,55474,species,14280,14332,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 55472, 55473, 55474]"
49,Artomyces pyxidatus,334704,species,14213,14270,"[48460, 47170, 47169, 492000, 50814, 48341, 55176, 136343, 334704]"
50,Cerrena unicolor,194476,species,13961,14058,"[48460, 47170, 47169, 492000, 50814, 47380, 974712, 194479, 194476]"
51,Flammulina velutipes,67594,species,13547,13646,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55931, 67595, 67594]"
52,Coprinopsis atramentaria,48521,species,13504,13620,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 48522, 1180054, 48521]"
53,Panaeolus foenisecii,902551,species,13390,13477,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 1180803, 118262, 902551]"
54,Candelaria concolor,69430,species,13313,13350,"[48460, 47170, 48250, 372740, 152030, 152550, 69475, 69468, 69430]"
55,Ganoderma tsugae,63274,species,13012,13113,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 48475, 1106981, 63274]"
56,Trametes hirsuta,116695,species,12855,12905,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 116695]"
57,Cantharellus cinnabarinus,143393,species,12622,12707,"[48460, 47170, 47169, 492000, 50814, 47350, 48423, 47348, 1374640, 143393]"
58,Hypogymnia physodes,117971,species,12506,12534,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 54321, 1094690, 117988, 117971]"
59,Trichaptum abietinum,118115,species,12451,12517,"[48460, 47170, 47169, 492000, 50814, 57519, 57518, 118119, 118115]"
60,Volvopluteus gloiocephalus,348720,species,12433,12502,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 48420, 379669, 348720]"
61,Xylaria polymorpha,58698,species,12188,12262,"[48460, 47170, 48250, 372740, 53539, 792674, 48805, 48806, 55268, 58698]"
62,Conocybe apala,117227,species,12038,12128,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 55472, 117228, 117227]"
63,Leucocoprinus birnbaumii,85398,species,11943,12101,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 85399, 85398]"
